"lon","lat","January","February","March","April","May","June","July","August","September","October","November","December"
241,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
